,Unnamed: 0,Phase,name,A,B,C,indexing,latt_x,latt_y,latt_z,angle_x,angle_y,angle_z,space_group,total_energy,energy_form,e11,e22,e31,e32,C11,C12,C22,C21,d11,d22,d31,d32,Eg_pbe,dielec_elec_xx,dielec_elec_yy,dielec_elec_zz,dielec_ion_xx,dielec_ion_yy,dielec_ion_zz,born_charge_A_xx,born_charge_A_yy,born_charge_A_zz,born_charge_B_xx,born_charge_B_yy,born_charge_B_zz,born_charge_C_xx,born_charge_C_yy,born_charge_C_zz,Parent_1,Parent_2,Parent_1_e,Parent_2_e,Parent_min,Parent_max,synthesis_index
0,0,H,ScOBr,Sc,O,Br,210835-2,3.37,3.37,19.11,90.0,90.0,120.0,P 3 m 1,-19.95,-7.69,-0.0,-2.98,0.04,0.04,105.66,42.46,105.66,42.46,-0.0,-4.71,0.03,0.03,0.98,2.34,2.34,1.29,2.43,2.43,0.04,3.83,3.83,0.78,-2.72,-2.72,-0.56,-1.11,-1.11,-0.22,ScOO,ScBrBr,-8.02,-4.94,-8.02,-4.94,-1.21
1,1,H,ScOCl,Sc,O,Cl,210817-2,3.29,3.29,19.11,90.0,90.0,120.0,P 3 m 1,-20.74,-8.2,-0.0,-3.11,-0.54,-0.54,104.01,44.75,104.01,44.75,-0.0,-5.25,-0.36,-0.36,1.99,2.08,2.08,1.26,2.51,2.51,0.04,3.86,3.86,0.8,-2.74,-2.74,-0.53,-1.12,-1.12,-0.27,ScOO,ScClCl,-8.02,-5.78,-8.02,-5.78,-1.29
2,2,H,ScOF,Sc,O,F,210809-2,3.13,3.13,19.11,90.0,90.0,120.0,P 3 m 1,-22.64,-10.09,0.0,-1.41,-1.78,-1.78,108.42,48.33,108.42,48.33,0.0,-2.34,-1.13,-1.13,2.23,1.8,1.8,1.18,1.7,1.7,0.05,3.87,3.87,0.94,-2.79,-2.79,-0.46,-1.08,-1.08,-0.48,ScOO,ScFF,-8.02,-9.71,-9.71,-8.02,-1.22
3,3,H,ScOI,Sc,O,I,210853-2,3.5,3.5,19.11,90.0,90.0,120.0,P 3 m 1,-18.83,-6.74,,,,,106.33,38.57,106.33,38.57,,,,,0.0,3.09,3.09,1.33,2.36,2.36,0.04,3.68,3.68,0.74,-2.67,-2.67,-0.58,-1.01,-1.01,-0.16,ScOO,ScII,-8.02,-3.73,-8.02,-3.73,-0.87
4,4,H,ScSBr,Sc,S,Br,211635-2,3.68,3.68,19.11,90.0,90.0,120.0,P 3 m 1,-16.9,-5.03,-0.0,-1.57,-1.13,-1.13,58.61,22.41,58.61,22.41,-0.0,-4.32,-1.4,-1.4,1.57,2.73,2.73,1.35,1.88,1.88,0.02,3.54,3.54,0.52,-2.48,-2.48,-0.26,-1.06,-1.06,-0.26,ScSS,ScBrBr,-3.59,-4.94,-4.94,-3.59,-0.76
5,5,H,ScSCl,Sc,S,Cl,211617-2,3.6,3.6,19.11,90.0,90.0,120.0,P 3 m 1,-17.53,-5.37,-0.0,-1.89,-1.61,-1.61,59.46,23.77,59.46,23.77,-0.0,-5.29,-1.93,-1.93,1.62,2.61,2.61,1.32,1.94,1.94,0.02,3.54,3.54,0.57,-2.47,-2.46,-0.25,-1.07,-1.07,-0.33,ScSS,ScClCl,-3.59,-5.78,-5.78,-3.59,-0.68
6,6,H,ScSF,Sc,S,F,211609-2,3.41,3.41,19.11,90.0,90.0,120.0,P 3 m 1,-19.19,-7.01,0.0,-1.65,-2.76,-2.76,71.74,25.8,71.74,25.8,0.0,-3.59,-2.83,-2.83,1.13,2.59,2.59,1.25,1.81,1.81,0.05,3.43,3.43,0.76,-2.46,-2.46,-0.19,-0.97,-0.97,-0.57,ScSS,ScFF,-3.59,-9.71,-9.71,-3.59,-0.36
7,7,H,ScSI,Sc,S,I,211653-2,3.82,3.82,19.11,90.0,90.0,120.0,P 3 m 1,-16.13,-4.43,-0.0,-1.25,-0.46,-0.46,59.12,20.95,59.12,20.95,-0.0,-3.26,-0.58,-0.58,1.16,3.07,3.07,1.39,1.7,1.7,0.02,3.51,3.51,0.47,-2.51,-2.51,-0.28,-1.0,-1.0,-0.19,ScSS,ScII,-3.59,-3.73,-3.73,-3.59,-0.77
8,8,H,ScSeBr,Sc,Se,Br,213435-2,3.76,3.76,19.11,90.0,90.0,120.0,P 3 m 1,-16.0,-4.75,-0.0,-1.5,-1.5,-1.5,52.48,19.83,52.48,19.83,-0.0,-4.59,-2.07,-2.07,1.26,2.99,2.99,1.37,1.87,1.87,0.02,3.42,3.42,0.49,-2.36,-2.36,-0.21,-1.06,-1.06,-0.28,ScSeSe,ScBrBr,-2.94,-4.94,-4.94,-2.94,-0.81
9,9,H,ScSeCl,Sc,Se,Cl,213417-2,3.68,3.68,19.11,90.0,90.0,120.0,P 3 m 1,-16.6,-5.07,-0.0,-1.84,-1.97,-1.97,53.86,21.44,53.86,21.44,-0.0,-5.67,-2.61,-2.61,1.04,2.93,2.93,1.34,1.95,1.95,0.02,3.42,3.42,0.54,-2.36,-2.35,-0.19,-1.06,-1.06,-0.35,ScSeSe,ScClCl,-2.94,-5.78,-5.78,-2.94,-0.7
