,Unnamed: 0,Phase,name,A,B,C,indexing,latt_x,latt_y,latt_z,angle_x,angle_y,angle_z,space_group,total_energy,energy_form,e11,e22,e31,e32,C11,C12,C22,C21,d11,d22,d31,d32,Eg_pbe,dielec_elec_xx,dielec_elec_yy,dielec_elec_zz,dielec_ion_xx,dielec_ion_yy,dielec_ion_zz,born_charge_A_xx,born_charge_A_yy,born_charge_A_zz,born_charge_B_xx,born_charge_B_yy,born_charge_B_zz,born_charge_C_xx,born_charge_C_yy,born_charge_C_zz,Parent_1,Parent_2,Parent_1_e,Parent_2_e,Parent_min,Parent_max,synthesis_index
0,0,T,ScOBr,Sc,O,Br,210835-1,3.44,3.44,19.15,90.0,90.0,120.0,P 3 m 1,-20.65,-8.39,-0.0,0.11,0.06,0.06,100.92,34.45,100.92,34.45,-0.0,0.17,0.04,0.04,2.07,2.2,2.2,1.26,2.64,2.64,0.04,4.28,4.28,0.79,-3.11,-3.11,-0.56,-1.17,-1.17,-0.24,ScOO,ScBrBr,-8.14,-4.89,-8.14,-4.89,-1.88
1,1,T,ScOCl,Sc,O,Cl,210817-1,3.38,3.38,19.15,90.0,90.0,120.0,P 3 m 1,-21.52,-8.97,-0.0,-0.5,-0.42,-0.42,99.38,33.76,99.38,33.76,-0.0,-0.76,-0.32,-0.32,3.21,1.97,1.97,1.23,2.48,2.48,0.04,4.29,4.29,0.83,-3.05,-3.06,-0.55,-1.23,-1.23,-0.28,ScOO,ScClCl,-8.14,-5.72,-8.14,-5.72,-2.04
2,2,T,ScOF,Sc,O,F,210809-1,3.26,3.26,19.15,90.0,90.0,120.0,P 3 m 1,-23.74,-11.18,-0.0,-2.03,-1.21,-1.21,102.56,33.14,102.56,33.14,-0.0,-2.92,-0.89,-0.89,4.23,1.66,1.66,1.16,2.64,2.64,0.06,4.36,4.36,1.02,-2.92,-2.92,-0.53,-1.43,-1.43,-0.49,ScOO,ScFF,-8.14,-9.45,-9.45,-8.14,-2.39
3,3,T,ScOI,Sc,O,I,210853-1,3.55,3.55,19.15,90.0,90.0,120.0,P 3 m 1,-19.45,-7.37,0.0,1.54,0.8,0.8,102.15,33.84,102.15,33.84,0.0,2.25,0.59,0.59,0.64,2.87,2.87,1.31,3.19,3.19,0.04,4.31,4.31,0.74,-3.22,-3.22,-0.56,-1.09,-1.09,-0.19,ScOO,ScII,-8.14,-3.74,-8.14,-3.74,-1.43
4,4,T,ScSBr,Sc,S,Br,211635-1,3.8,3.8,19.15,90.0,90.0,120.0,P 3 m 1,-17.41,-5.53,-0.0,-1.46,-0.93,-0.93,48.8,12.57,48.8,12.57,-0.0,-4.02,-1.52,-1.52,2.17,2.61,2.61,1.31,3.01,3.01,0.02,4.27,4.27,0.53,-2.81,-2.81,-0.28,-1.46,-1.46,-0.25,ScSS,ScBrBr,-3.63,-4.89,-4.89,-3.63,-1.27
5,5,T,ScSCl,Sc,S,Cl,211617-1,3.72,3.72,19.15,90.0,90.0,120.0,P 3 m 1,-18.08,-5.91,0.0,-1.68,-1.26,-1.26,50.18,12.33,50.18,12.33,0.0,-4.44,-2.02,-2.02,2.17,2.45,2.45,1.29,3.21,3.21,0.02,4.26,4.26,0.58,-2.72,-2.72,-0.27,-1.54,-1.54,-0.31,ScSS,ScClCl,-3.63,-5.72,-5.72,-3.63,-1.23
6,6,T,ScSF,Sc,S,F,211609-1,3.53,3.53,19.15,90.0,90.0,120.0,P 3 m 1,-19.9,-7.73,0.0,-4.95,-1.99,-1.99,60.5,17.66,60.5,17.66,0.0,-11.55,-2.55,-2.55,1.74,2.3,2.3,1.22,4.88,4.88,0.05,4.25,4.25,0.75,-2.48,-2.48,-0.24,-1.78,-1.78,-0.51,ScSS,ScFF,-3.63,-9.45,-9.45,-3.63,-1.18
7,7,T,ScSI,Sc,S,I,211653-1,3.92,3.92,19.15,90.0,90.0,120.0,P 3 m 1,-16.61,-4.91,-0.0,-1.04,-0.43,-0.43,49.21,13.35,49.21,13.35,-0.0,-2.89,-0.68,-0.68,1.57,2.97,2.97,1.35,2.77,2.77,0.02,4.31,4.31,0.48,-2.96,-2.96,-0.3,-1.35,-1.35,-0.19,ScSS,ScII,-3.63,-3.74,-3.74,-3.63,-1.22
8,8,T,ScSeBr,Sc,Se,Br,213435-1,3.88,3.88,19.15,90.0,90.0,120.0,P 3 m 1,-16.45,-5.21,0.0,-1.49,-1.21,-1.21,43.75,10.65,43.75,10.65,0.0,-4.51,-2.22,-2.22,1.57,2.88,2.88,1.34,3.42,3.42,0.02,4.24,4.24,0.49,-2.67,-2.67,-0.22,-1.57,-1.57,-0.26,ScSeSe,ScBrBr,-3.46,-4.89,-4.89,-3.46,-1.03
9,9,T,ScSeCl,Sc,Se,Cl,213417-1,3.8,3.8,19.15,90.0,90.0,120.0,P 3 m 1,-17.1,-5.56,0.0,-1.71,-1.54,-1.54,45.79,10.74,45.79,10.74,0.0,-4.87,-2.72,-2.72,1.41,2.77,2.77,1.31,3.72,3.72,0.02,4.26,4.26,0.54,-2.59,-2.59,-0.21,-1.67,-1.67,-0.33,ScSeSe,ScClCl,-3.46,-5.72,-5.72,-3.46,-0.97
