,Unnamed: 0.1,Unnamed: 0,Phase,name,A,B,C,indexing,latt_x,latt_y,latt_z,angle_x,angle_y,angle_z,space_group,total_energy,energy_form,e11,e22,e31,e32,C11,C12,C22,C21,d11,d22,d31,d32,Eg_pbe,dielec_elec_xx,dielec_elec_yy,dielec_elec_zz,dielec_ion_xx,dielec_ion_yy,dielec_ion_zz,born_charge_A_xx,born_charge_A_yy,born_charge_A_zz,born_charge_B_xx,born_charge_B_yy,born_charge_B_zz,born_charge_C_xx,born_charge_C_yy,born_charge_C_zz,Parent_1,Parent_2,Parent_1_e,Parent_2_e,Parent_min,Parent_max,synthesis_index
0,0,0,T',ScOBr,Sc,O,Br,210835-3,6.87,3.43,19,90,90,119.96,P 1,-41.28,-8.38,-0.03,-0.49,0.05,0.05,101.51,34.72,101.63,34.72,-0.04,-0.74,0.04,0.04,2.88,2.21,2.21,1.27,2.64,2.63,0.04,4.28,4.28,0.79,-3.11,-3.11,-0.56,-1.17,-1.17,-0.24,ScOO,ScBrBr,-8.14,-4.91,-8.14,-4.91,-1.85
1,1,1,T',ScOCl,Sc,O,Cl,210817-3,6.75,3.37,19,90,90,119.97,P 1,-43.02,-8.97,0.02,-1.03,-0.43,-0.43,99.69,33.91,99.74,33.91,0.03,-1.57,-0.32,-0.32,4.12,1.97,1.97,1.24,2.49,2.48,0.04,4.28,4.28,0.83,-3.05,-3.05,-0.55,-1.23,-1.23,-0.28,ScOO,ScClCl,-8.14,-5.72,-8.14,-5.72,-2.03
2,2,2,T',ScOF,Sc,O,F,210809-3,6.51,3.25,19,90,90,119.97,P 1,-47.47,-11.18,0.14,-2.45,-1.21,-1.21,102.53,33.07,102.63,33.07,0.2,-3.52,-0.89,-0.89,5.33,1.66,1.66,1.16,2.66,2.65,0.06,4.35,4.35,1.02,-2.92,-2.92,-0.53,-1.43,-1.43,-0.49,ScOO,ScFF,-8.14,-9.58,-9.58,-8.14,-2.32
3,3,3,T',ScOI,Sc,O,I,210853-3,7.09,3.54,19,90,90,119.94,P 1,-38.85,-7.35,-0.17,1.08,0.79,0.79,103.8,34.48,104.17,34.48,-0.25,1.55,0.57,0.57,1.34,2.9,2.9,1.31,3.12,3.09,0.04,4.31,4.31,0.75,-3.22,-3.22,-0.56,-1.08,-1.08,-0.19,ScOO,ScII,-8.14,-3.76,-8.14,-3.76,-1.39
4,4,4,T',ScSBr,Sc,S,Br,211635-3,7.59,3.79,19,90,90,119.99,P 1,-34.81,-5.52,0.07,-1.64,-0.94,-0.93,48.95,12.64,48.97,12.64,0.19,-4.51,-1.52,-1.52,2.95,2.62,2.62,1.32,3.04,3.04,0.02,4.26,4.26,0.53,-2.81,-2.81,-0.28,-1.46,-1.46,-0.25,ScSS,ScBrBr,-3.64,-4.91,-4.91,-3.64,-1.25
5,5,5,T',ScSCl,Sc,S,Cl,211617-3,7.45,3.72,19,90,90,120.0,P 1,-36.14,-5.9,0.08,-1.83,-1.26,-1.26,50.2,12.33,50.2,12.33,0.2,-4.83,-2.02,-2.02,2.97,2.47,2.47,1.29,3.24,3.24,0.02,4.26,4.26,0.59,-2.72,-2.72,-0.27,-1.54,-1.54,-0.31,ScSS,ScClCl,-3.64,-5.72,-5.72,-3.64,-1.22
6,6,6,T',ScSF,Sc,S,F,211609-3,7.02,3.5,19,90,90,119.87,P 1,-39.72,-7.69,0.75,-3.73,-2.04,-2.02,63.51,17.31,64.67,17.31,1.63,-7.87,-2.52,-2.46,2.49,2.33,2.33,1.23,4.62,4.46,0.05,4.25,4.24,0.75,-2.47,-2.47,-0.24,-1.77,-1.78,-0.52,ScSS,ScFF,-3.64,-9.58,-9.58,-3.64,-1.08
7,7,7,T',ScSI,Sc,S,I,211653-3,7.84,3.92,19,90,90,119.99,P 1,-33.2,-4.9,0.05,-1.23,-0.43,-0.43,49.38,13.41,49.4,13.41,0.13,-3.42,-0.69,-0.69,2.28,2.99,2.99,1.36,2.79,2.79,0.02,4.3,4.3,0.48,-2.95,-2.95,-0.3,-1.35,-1.35,-0.19,ScSS,ScII,-3.64,-3.76,-3.76,-3.64,-1.2
8,8,8,T',ScSeBr,Sc,Se,Br,213435-3,7.75,3.87,19,90,90,119.99,P 1,-32.89,-5.2,0.06,-1.58,-1.21,-1.21,44.0,10.7,44.01,10.7,0.19,-4.73,-2.22,-2.22,2.3,2.9,2.9,1.34,3.44,3.44,0.02,4.24,4.24,0.49,-2.67,-2.67,-0.22,-1.57,-1.57,-0.26,ScSeSe,ScBrBr,-3.49,-4.91,-4.91,-3.49,-1.0
9,9,9,T',ScSeCl,Sc,Se,Cl,213417-3,7.6,3.8,19,90,90,119.99,P 1,-34.17,-5.55,0.07,-1.76,-1.54,-1.54,45.9,10.75,45.91,10.75,0.19,-4.99,-2.72,-2.72,2.16,2.79,2.79,1.31,3.75,3.75,0.02,4.26,4.26,0.54,-2.59,-2.59,-0.21,-1.66,-1.66,-0.33,ScSeSe,ScClCl,-3.49,-5.72,-5.72,-3.49,-0.95
10,10,10,T',ScSeF,Sc,Se,F,213409-3,7.14,3.55,19,90,90,119.83,P 1,-37.57,-7.24,1.23,-3.98,-2.42,-2.39,60.64,17.16,62.44,17.16,2.82,-8.79,-3.11,-3.0,1.56,2.85,2.85,1.25,5.83,5.53,0.04,4.29,4.29,0.69,-2.38,-2.37,-0.17,-1.91,-1.92,-0.51,ScSeSe,ScFF,-3.49,-9.58,-9.58,-3.49,-0.71
11,11,11,T',ScSeI,Sc,Se,I,213453-3,8.0,4.0,19,90,90,119.99,P 1,-31.38,-4.62,0.03,-1.12,-0.7,-0.7,43.07,10.94,43.1,10.94,0.1,-3.5,-1.3,-1.3,2.17,3.2,3.2,1.38,3.02,3.01,0.01,4.26,4.26,0.43,-2.81,-2.81,-0.23,-1.44,-1.44,-0.2,ScSeSe,ScII,-3.49,-3.76,-3.76,-3.49,-0.99
12,12,12,T',ScTeBr,Sc,Te,Br,215235-3,8.02,4.01,19,90,90,119.99,P 1,-30.46,-4.35,0.06,-1.31,-1.61,-1.61,37.55,8.43,37.56,8.43,0.19,-4.51,-3.5,-3.5,1.17,3.78,3.78,1.38,4.41,4.41,0.02,4.37,4.37,0.45,-2.56,-2.56,-0.17,-1.81,-1.81,-0.29,ScTeTe,ScBrBr,-2.79,-4.91,-4.91,-2.79,-0.5
13,13,13,T',ScTeCl,Sc,Te,Cl,215217-3,7.87,3.93,19,90,90,119.99,P 1,-31.69,-4.67,0.05,-1.43,-1.92,-1.92,39.97,8.84,39.99,8.84,0.16,-4.58,-3.93,-3.93,0.99,3.89,3.89,1.35,4.89,4.89,0.02,4.44,4.44,0.5,-2.52,-2.52,-0.15,-1.92,-1.92,-0.35,ScTeTe,ScClCl,-2.79,-5.72,-5.72,-2.79,-0.42
14,14,14,T',ScTeF,Sc,Te,F,215209-3,7.34,3.64,19,90,90,119.76,P 1,-34.71,-6.17,2.65,-3.75,-2.9,-2.84,54.88,16.9,57.71,16.9,6.99,-9.19,-4.04,-3.81,0.32,5.37,5.46,1.3,9.06,8.26,0.04,4.71,4.73,0.59,-2.57,-2.57,-0.1,-2.15,-2.16,-0.49,ScTeTe,ScFF,-2.79,-9.58,-9.58,-2.79,0.01
15,15,15,T',ScTeI,Sc,Te,I,215253-3,8.27,4.13,19,90,90,119.99,P 1,-29.08,-3.83,0.04,-1.09,-1.12,-1.12,35.7,8.35,35.73,8.35,0.13,-3.99,-2.54,-2.53,1.39,3.83,3.83,1.42,3.65,3.65,0.01,4.31,4.31,0.39,-2.66,-2.66,-0.18,-1.65,-1.65,-0.21,ScTeTe,ScII,-2.79,-3.76,-3.76,-2.79,-0.55
16,16,16,T',YOBr,Y,O,Br,390835-3,7.33,3.65,19,90,90,119.89,P 1,-42.42,-8.77,-0.03,-0.79,-0.52,-0.51,87.96,32.55,87.98,32.55,-0.05,-1.42,-0.43,-0.43,4.1,1.98,1.98,1.27,1.9,1.89,0.05,4.1,4.1,0.91,-2.95,-2.95,-0.62,-1.15,-1.15,-0.29,YOO,YBrBr,-8.18,-5.22,-8.18,-5.22,-2.07
17,17,17,T',YOCl,Y,O,Cl,390817-3,7.26,3.62,19,90,90,119.91,P 1,-44.0,-9.27,0.0,-0.98,-0.58,-0.57,86.79,31.6,86.71,31.6,0.0,-1.77,-0.49,-0.48,5.29,1.81,1.81,1.23,1.85,1.84,0.05,4.13,4.13,0.96,-2.91,-2.91,-0.62,-1.22,-1.22,-0.34,YOO,YClCl,-8.18,-5.95,-8.18,-5.95,-2.21
18,18,18,T',YOF,Y,O,F,390809-3,7.05,3.51,19,90,90,119.85,P 1,-48.17,-11.35,0.13,-1.79,-0.45,-0.43,94.68,31.25,94.68,31.25,0.21,-2.82,-0.36,-0.34,5.28,1.56,1.56,1.16,1.92,1.89,0.07,4.21,4.2,1.14,-2.78,-2.77,-0.6,-1.43,-1.43,-0.54,YOO,YFF,-8.18,-10.1,-10.1,-8.18,-2.21
