,Phase,name,A,B,C,indexing,latt_x,latt_y,latt_z,angle_x,anlge_y,angle_z,space_group,total_energy,energy_form,e11,e22,e31,e32,C11,C12,C22,C21,d11,d22,d31,d32,Eg_pbe,dielec_elec_xx,dielec_elec_yy,dielec_elec_zz,dielec_ion_xx,dielec_ion_yy,dielec_ion_zz,born_charge_A_xx,born_charge_A_yy,born_charge_A_zz,born_charge_B_xx,born_charge_B_yy,born_charge_B_zz,born_charge_C_xx,born_charge_C_yy,born_charge_C_zz,Parent_1,Parent_2,Parent_1_e,Parent_2_e,Parent_min,Parent_max,synthesis_index
0,T_prime,ScOBr,Sc,O,Br,210835,6.873062765,3.432443739,19,90,90,119.9610936,P 1,-41.27997902,-8.382798695,-0.02717,-0.49476,0.04788,0.0494,101.50693,34.719118,101.630012,34.719118,-0.040681075,-0.73943116,0.035147463,0.036230521,2.88,2.212888,2.212931,1.266632,2.636271,2.626315,0.042454,4.279995,4.279475,0.793715,-3.112595,-3.11269,-0.55748,-1.167405,-1.16679,-0.23624,ScOO,ScBrBr,-8.14479583,-4.913676025,-8.14479583,-4.913676025,-1.853562767
1,T_prime,ScOCl,Sc,O,Cl,210817,6.753177081,3.373663892,19,90,90,119.9716987,P 1,-43.01956681,-8.96503289,0.01824,-1.03436,-0.43035,-0.42902,99.68559,33.910155,99.739816,33.910155,0.027730717,-1.571267396,-0.322128523,-0.321002688,4.12,1.974075,1.973995,1.235734,2.487598,2.481623,0.043192,4.283835,4.28342,0.83322,-3.05404,-3.053995,-0.550775,-1.229795,-1.229425,-0.282445,ScOO,ScClCl,-8.14479583,-5.721760665,-8.14479583,-5.721760665,-2.031754643
2,T_prime,ScOF,Sc,O,F,210809,6.511298184,3.252351775,19,90,90,119.9668778,P 1,-47.471523,-11.18172179,0.1368,-2.44758,-1.21106,-1.20574,102.528313,33.074744,102.631217,33.074744,0.19696612,-3.51883857,-0.89309196,-0.8884945,5.33,1.660443,1.660197,1.158067,2.656494,2.645401,0.059496,4.35482,4.35427,1.016335,-2.921475,-2.92033,-0.528975,-1.433345,-1.43394,-0.487365,ScOO,ScFF,-8.14479583,-9.5839258,-9.5839258,-8.14479583,-2.31736097
3,T_prime,ScOI,Sc,O,I,210853,7.089975398,3.538444126,19,90,90,119.9397571,P 1,-38.85437925,-7.34532356,-0.17043,1.08262,0.78755,0.78812,103.796525,34.476545,104.166037,34.476545,-0.245859852,1.55349102,0.569561376,0.568454503,1.34,2.901083,2.902349,1.311098,3.115147,3.092101,0.042546,4.30599,4.305005,0.746,-3.22231,-3.223775,-0.56082,-1.083675,-1.08123,-0.18518,ScOO,ScII,-8.14479583,-3.76448741,-8.14479583,-3.76448741,-1.39068194
4,T_prime,ScSBr,Sc,S,Br,211635,7.590583291,3.794325472,19,90,90,119.9916822,P 1,-34.80556999,-5.524597458,0.06935,-1.63723,-0.93518,-0.93461,48.95331,12.643075,48.967541,12.643075,0.19099298,-4.507237629,-1.518238449,-1.516962596,2.95,2.619595,2.619498,1.317001,3.038538,3.035973,0.018498,4.263845,4.263245,0.5332,-2.806675,-2.806215,-0.281305,-1.45717,-1.457035,-0.251895,ScSS,ScBrBr,-3.636359965,-4.913676025,-4.913676025,-3.636359965,-1.249579463
5,T_prime,ScSCl,Sc,S,Cl,211617,7.447061763,3.723117519,19,90,90,119.9963336,P 1,-36.13601977,-5.902262648,0.07752,-1.82894,-1.26141,-1.26103,50.195777,12.328967,50.199539,12.328967,0.204717535,-4.829449104,-2.017457281,-2.016728178,2.97,2.465714,2.465664,1.288689,3.238126,3.238909,0.022581,4.26123,4.26092,0.5852,-2.721225,-2.721025,-0.27308,-1.540005,-1.539895,-0.31212,ScSS,ScClCl,-3.636359965,-5.721760665,-5.721760665,-3.636359965,-1.223202332
6,T_prime,ScSF,Sc,S,F,211609,7.021823993,3.496737295,19,90,90,119.8681543,P 1,-39.72220271,-7.686064918,0.75487,-3.72571,-2.03794,-2.01514,63.508602,17.307689,64.669103,17.307689,1.63388546,-7.866551451,-2.521694543,-2.458183531,2.49,2.330573,2.329536,1.226662,4.616417,4.462544,0.045283,4.245195,4.243655,0.752905,-2.47396,-2.46621,-0.23718,-1.771235,-1.77745,-0.51573,ScSS,ScFF,-3.636359965,-9.5839258,-9.5839258,-3.636359965,-1.075922035
7,T_prime,ScSI,Sc,S,I,211653,7.843046851,3.92023169,19,90,90,119.9892613,P 1,-33.20291136,-4.898592893,0.04503,-1.23158,-0.43187,-0.4313,49.376212,13.412404,49.39924,13.412404,0.12520921,-3.422306979,-0.687815766,-0.686656124,2.28,2.988306,2.988258,1.35566,2.792374,2.790812,0.016543,4.304125,4.30326,0.484435,-2.954135,-2.95342,-0.296225,-1.34999,-1.34984,-0.18821,ScSS,ScII,-3.636359965,-3.76448741,-3.76448741,-3.636359965,-1.198169205
8,T_prime,ScSeBr,Sc,Se,Br,213435,7.745422573,3.871729795,19,90,90,119.9916075,P 1,-32.88788082,-5.197384072,0.0646,-1.57681,-1.21277,-1.2122,44.000143,10.697532,44.00761,10.697532,0.193978784,-4.733732536,-2.217224041,-2.215879451,2.3,2.896263,2.896161,1.339533,3.441249,3.439684,0.016557,4.239495,4.238955,0.4868,-2.669465,-2.66877,-0.22264,-1.57003,-1.570185,-0.264165,ScSeSe,ScBrBr,-3.485969254,-4.913676025,-4.913676025,-3.485969254,-0.997561432
9,T_prime,ScSeCl,Sc,Se,Cl,213417,7.601949161,3.800164284,19,90,90,119.9930713,P 1,-34.17229932,-5.552033622,0.06593,-1.75617,-1.539,-1.53881,45.904019,10.748699,45.908674,10.748699,0.187539183,-4.994798773,-2.71655104,-2.715992498,2.16,2.7858,2.785721,1.310629,3.749639,3.749668,0.021767,4.256185,4.255615,0.540785,-2.59142,-2.591015,-0.21459,-1.66477,-1.664595,-0.326195,ScSeSe,ScClCl,-3.485969254,-5.721760665,-5.721760665,-3.485969254,-0.948168662
10,T_prime,ScSeF,Sc,Se,F,213409,7.141016619,3.552133602,19,90,90,119.8319088,P 1,-37.5690583,-7.241123912,1.22664,-3.97765,-2.42231,-2.38982,60.644428,17.162909,62.438389,17.162909,2.821060598,-8.785439713,-3.113215403,-3.002237476,1.56,2.850359,2.853603,1.252072,5.831625,5.527818,0.044388,4.28843,4.290035,0.68571,-2.38267,-2.37462,-0.17255,-1.90576,-1.91542,-0.51316,ScSeSe,ScFF,-3.485969254,-9.5839258,-9.5839258,-3.485969254,-0.706176385
11,T_prime,ScSeI,Sc,Se,I,213453,7.999599755,3.998636032,19,90,90,119.9904799,P 1,-31.37994757,-4.618742197,0.03059,-1.12461,-0.70319,-0.70414,43.07338,10.935488,43.095344,10.935488,0.095183592,-3.4969373,-1.301989888,-1.303218873,2.17,3.197143,3.197054,1.378635,3.015449,3.012833,0.012853,4.256155,4.256525,0.42937,-2.81216,-2.81238,-0.233625,-1.443995,-1.444145,-0.19574,ScSeSe,ScII,-3.485969254,-3.76448741,-3.76448741,-3.485969254,-0.993513865
12,T_prime,ScTeBr,Sc,Te,Br,215235,8.018497346,4.008021497,19,90,90,119.9900371,P 1,-30.46426592,-4.345170052,0.05586,-1.31404,-1.6074,-1.60721,37.545406,8.428305,37.557224,8.428305,0.191846022,-4.511118315,-3.496345988,-3.495034275,1.17,3.781297,3.78188,1.379695,4.410727,4.409503,0.01707,4.374875,4.37449,0.45267,-2.562625,-2.56242,-0.167525,-1.812255,-1.81207,-0.285145,ScTeTe,ScBrBr,-2.786269508,-4.913676025,-4.913676025,-2.786269508,-0.495197285
13,T_prime,ScTeCl,Sc,Te,Cl,215217,7.871695814,3.934418003,19,90,90,119.9882601,P 1,-31.68791405,-4.669434417,0.04883,-1.42766,-1.91919,-1.919,39.974442,8.84279,39.992416,8.84279,0.156850012,-4.583233198,-3.931378166,-3.929542142,0.99,3.89002,3.891134,1.349561,4.894512,4.891528,0.023383,4.439965,4.43995,0.499925,-2.523605,-2.523595,-0.154535,-1.91636,-1.91635,-0.34539,ScTeTe,ScClCl,-2.786269508,-5.721760665,-5.721760665,-2.786269508,-0.41541933
14,T_prime,ScTeF,Sc,Te,F,215209,7.336879863,3.641916826,19,90,90,119.7646554,P 1,-34.70829819,-6.170337287,2.65487,-3.74946,-2.89636,-2.84183,54.878688,16.896396,57.70851,16.896396,6.989757227,-9.187125176,-4.035327914,-3.809173086,0.32,5.366271,5.456755,1.30026,9.057726,8.257336,0.042563,4.714145,4.73452,0.59381,-2.567585,-2.574955,-0.10028,-2.146565,-2.15956,-0.49353,ScTeTe,ScFF,-2.786269508,-9.5839258,-9.5839258,-2.786269508,0.014760367
15,T_prime,ScTeI,Sc,Te,I,215253,8.268981953,4.133582574,19,90,90,119.9926741,P 1,-29.07802546,-3.827374572,0.03667,-1.09288,-1.11682,-1.11663,35.698302,8.351317,35.728322,8.351317,0.134091564,-3.991963328,-2.535368127,-2.533210401,1.39,3.832771,3.832975,1.420832,3.650968,3.647449,0.011567,4.311205,4.31091,0.39295,-2.657645,-2.657245,-0.179375,-1.653555,-1.65367,-0.21358,ScTeTe,ScII,-2.786269508,-3.76448741,-3.76448741,-2.786269508,-0.551996112
16,T_prime,YOBr,Y,O,Br,390835,7.330970064,3.653591646,19,90,90,119.8940489,P 1,-42.42359013,-8.772091455,-0.02888,-0.78679,-0.51623,-0.51338,87.964794,32.552415,87.980545,32.552415,-0.052118318,-1.419477799,-0.428345466,-0.425924992,4.1,1.979398,1.979104,1.26785,1.900819,1.885152,0.052424,4.10443,4.101395,0.910545,-2.950875,-2.949595,-0.621955,-1.153555,-1.1518,-0.288595,YOO,YBrBr,-8.17632958,-5.22272681,-8.17632958,-5.22272681,-2.07256326
17,T_prime,YOCl,Y,O,Cl,390817,7.256594283,3.61778292,19,90,90,119.9052925,P 1,-43.99712371,-9.271298545,0.00038,-0.97812,-0.57741,-0.57228,86.794698,31.595708,86.714575,31.595708,0.000688418,-1.774564778,-0.487716885,-0.483711124,5.29,1.81119,1.810801,1.234968,1.850723,1.837931,0.054763,4.12977,4.12719,0.958055,-2.906505,-2.90507,-0.61908,-1.22326,-1.222125,-0.33898,YOO,YClCl,-8.17632958,-5.946626495,-8.17632958,-5.946626495,-2.209820508
18,T_prime,YOF,Y,O,F,390809,7.048372284,3.508076223,19,90,90,119.850791,P 1,-48.16787121,-11.3473831,0.13452,-1.78733,-0.44745,-0.42788,94.675822,31.247685,94.682149,31.247685,0.212082534,-2.817600855,-0.355334767,-0.339776514,5.28,1.563675,1.562742,1.159409,1.918564,1.889068,0.074726,4.207955,4.204725,1.139825,-2.77907,-2.77426,-0.60447,-1.42888,-1.430465,-0.535355,YOO,YFF,-8.17632958,-10.10125859,-10.10125859,-8.17632958,-2.20858901
19,T_prime,YOI,Y,O,I,390853,7.47989782,3.726027147,19,90,90,119.87847,P 1,-40.3167276,-7.89398494,-0.10811,-0.32718,-0.35853,-0.35625,91.92466,33.059639,92.191002,33.059639,-0.183657456,-0.553310432,-0.286860032,-0.284429682,2.45,2.362383,2.362862,1.315808,2.059037,2.038429,0.052015,4.088735,4.08518,0.86753,-3.023135,-3.022565,-0.624155,-1.065605,-1.062615,-0.24337,YOO,YII,-8.17632958,-4.16379629,-8.17632958,-4.16379629,-1.723922005
20,T_prime,YSBr,Y,S,Br,391635,8.152614594,4.075360227,19,90,90,119.9925317,P 1,-36.20040763,-6.039503483,0.0779,-1.60968,-0.35302,-0.35245,41.000803,11.098223,41.003235,11.098223,0.260512638,-5.382642883,-0.677594241,-0.676468593,3.72,2.266522,2.266408,1.307524,2.352855,2.35211,0.028678,4.14606,4.14534,0.67299,-2.71259,-2.711935,-0.370955,-1.43346,-1.43341,-0.30204,YSS,YBrBr,-3.91977836,-5.22272681,-5.22272681,-3.91977836,-1.468250898
21,T_prime,YSCl,Y,S,Cl,391617,8.047266159,4.022344445,19,90,90,119.9893406,P 1,-37.47992308,-6.391701508,0.09139,-1.78543,-0.29773,-0.29678,42.421528,10.874384,42.429242,10.874384,0.289693419,-5.658177895,-0.558635717,-0.556772629,3.78,2.139584,2.139494,1.277858,2.484058,2.481691,0.033929,4.16049,4.159955,0.726465,-2.642395,-2.6418,-0.360995,-1.518095,-1.51816,-0.36547,YSS,YClCl,-3.91977836,-5.946626495,-5.946626495,-3.91977836,-1.45849908
